gbifID,species,longitude,latitude
872714541,Bombus centralis,-108.55,37.3333
872714493,Bombus centralis,-104.8208,38.8339
872714470,Bombus centralis,-106.0,35.875
872705235,Bombus sylvicola,-105.605,39.6372
872705234,Bombus flavifrons,-105.6006,39.6753
872705206,Bombus flavifrons,-105.6006,39.6753
872705197,Bombus rufocinctus,-105.6006,39.6753
872705193,Bombus bifarius,-105.6028,39.6583
872705187,Bombus melanopygus,-105.8081,40.4219
872705183,Bombus flavifrons,-105.6006,39.6753
872705181,Bombus flavifrons,-105.6617,39.6722
872705177,Bombus mixtus,-105.6006,39.6753
872705173,Bombus mixtus,-105.6006,39.6753
872705172,Bombus melanopygus,-105.6028,39.6583
872705171,Bombus melanopygus,-105.6028,39.6583
872705167,Bombus sylvicola,-105.8786,39.6636
872705159,Bombus flavifrons,-105.6006,39.6753
872705156,Bombus melanopygus,-105.6617,39.6722
872705155,Bombus flavifrons,-105.6006,39.6753
872705150,Bombus sylvicola,-105.6028,39.6583
872705144,Bombus flavifrons,-105.6006,39.6753
872705140,Bombus melanopygus,-105.6617,39.6722
872705137,Bombus flavifrons,-105.6006,39.6753
872705130,Bombus flavifrons,-105.6006,39.6753
872705129,Bombus flavifrons,-105.4467,39.9825
872705121,Bombus mixtus,-105.6006,39.6753
872705117,Bombus flavifrons,-105.6006,39.6753
872705116,Bombus melanopygus,-105.6028,39.6583
872705114,Bombus flavifrons,-105.6006,39.6753
872705113,Bombus mixtus,-105.6006,39.6753
872705111,Bombus flavifrons,-105.6006,39.6753
872705110,Bombus bifarius,-105.4467,39.9825
872705107,Bombus mixtus,-105.6006,39.6753
872705102,Bombus flavifrons,-105.6006,39.6753
872705095,Bombus flavifrons,-105.6006,39.6753
872705093,Bombus flavifrons,-105.6006,39.6753
872705092,Bombus melanopygus,-105.6028,39.6583
872705090,Bombus bifarius,-105.6006,39.6753
872705087,Bombus flavifrons,-105.6006,39.6753
872705083,Bombus flavifrons,-105.6006,39.6753
872705080,Bombus melanopygus,-105.6006,39.6753
872705075,Bombus flavifrons,-105.6006,39.6753
872705072,Bombus mixtus,-105.6006,39.6753
872705070,Bombus bifarius,-105.6028,39.6583
